UsageSet | Anu201201
OnNetLocalSEC | 80000
OffNetLocalSEC | 60000
OnNetSTDSEC | 55000
OffNetSTDSEC | 60000
ISD1SEC | 25000
ISD2SEC | 40000
SMSLocalSMS | 1000
SMSSTDSMS | 1500
SMSISDSMS | 2300
SMSRoamingSMS | 1000
RoamingIncomingSEC | 30000
RoamingOutgoingLocalSEC | 15000
RoamingOutgoingSTDSEC | 8000

UsageSet | Anu201202
OnNetLocalSEC | 400
OffNetLocalSEC | 200
OnNetSTDSEC | 17000
OffNetSTDSEC | 19000
ISD1SEC | 4500
ISD2SEC | 8200
SMSLocalSMS | 10
SMSSTDSMS | 1500
SMSISDSMS | 2300
SMSRoamingSMS | 1000
RoamingIncomingSEC | 3000
RoamingOutgoingLocalSEC | 100
RoamingOutgoingSTDSEC | 8000

UsageSet | Anu201203
OnNetLocalSEC | 180000
OffNetLocalSEC | 150000
OnNetSTDSEC | 2000
OffNetSTDSEC | 1000
ISD1SEC | 10
ISD2SEC | 0
SMSLocalSMS | 8000
SMSSTDSMS | 100
SMSISDSMS | 0
SMSRoamingSMS | 100
RoamingIncomingSEC | 100
RoamingOutgoingLocalSEC | 200
RoamingOutgoingSTDSEC | 100

UsageSet | Anu201204
OnNetLocalSEC | 290
OffNetLocalSEC | 80
OnNetSTDSEC | 240
OffNetSTDSEC | 180
ISD1SEC | 8000
ISD2SEC | 9600
SMSLocalSMS | 80
SMSSTDSMS | 108
SMSISDSMS | 1800
SMSRoamingSMS | 40
RoamingIncomingSEC | 10
RoamingOutgoingLocalSEC | 20
RoamingOutgoingSTDSEC | 27

UsageSet | Anu201205
OnNetLocalSEC | 1050
OffNetLocalSEC | 520
OnNetSTDSEC | 204
OffNetSTDSEC | 178
ISD1SEC | 0
ISD2SEC | 0
SMSLocalSMS | 102
SMSSTDSMS | 167
SMSISDSMS | 0
SMSRoamingSMS | 190
RoamingIncomingSEC | 80
RoamingOutgoingLocalSEC | 83
RoamingOutgoingSTDSEC | 95

UsageSet | Anu201206
OnNetLocalSEC | 2700
OffNetLocalSEC | 3100
OnNetSTDSEC | 5500
OffNetSTDSEC | 7200
ISD1SEC | 180
ISD2SEC | 218
SMSLocalSMS | 2500
SMSSTDSMS | 1500
SMSISDSMS | 10
SMSRoamingSMS | 300
RoamingIncomingSEC | 1000
RoamingOutgoingLocalSEC | 2000
RoamingOutgoingSTDSEC | 500

UsageSet | Anu201207
OnNetLocalSEC | 25000
OffNetLocalSEC | 10000
OnNetSTDSEC | 3000
OffNetSTDSEC | 1800
ISD1SEC | 24
ISD2SEC | 33
SMSLocalSMS | 3200
SMSSTDSMS | 902
SMSISDSMS | 8
SMSRoamingSMS | 200
RoamingIncomingSEC | 289
RoamingOutgoingLocalSEC | 100
RoamingOutgoingSTDSEC | 230

UsageSet | Anu201208
OnNetLocalSEC | 1772
OffNetLocalSEC | 1320
OnNetSTDSEC | 2021
OffNetSTDSEC | 1103
ISD1SEC | 289
ISD2SEC | 110
SMSLocalSMS | 250
SMSSTDSMS | 150
SMSISDSMS | 21
SMSRoamingSMS | 89
RoamingIncomingSEC | 650
RoamingOutgoingLocalSEC | 200
RoamingOutgoingSTDSEC | 312

UsageSet | Anu201209
OnNetLocalSEC | 180000
OffNetLocalSEC | 150000
OnNetSTDSEC | 165000
OffNetSTDSEC | 135000
ISD1SEC | 30000
ISD2SEC | 20000
SMSLocalSMS | 2500
SMSSTDSMS | 1500
SMSISDSMS | 250
SMSRoamingSMS | 550
RoamingIncomingSEC | 90000
RoamingOutgoingLocalSEC | 60000
RoamingOutgoingSTDSEC | 30000

UsageSet | Anu201210
OnNetLocalSEC | 18000
OffNetLocalSEC | 15000
OnNetSTDSEC | 16500
OffNetSTDSEC | 13500
ISD1SEC | 3000
ISD2SEC | 2000
SMSLocalSMS | 2500
SMSSTDSMS | 1500
SMSISDSMS | 250
SMSRoamingSMS | 550
RoamingIncomingSEC | 9000
RoamingOutgoingLocalSEC | 6000
RoamingOutgoingSTDSEC | 3000

UsageSet | Anu201211
OnNetLocalSEC | 1800
OffNetLocalSEC | 1500
OnNetSTDSEC | 1650
OffNetSTDSEC | 1350
ISD1SEC | 300
ISD2SEC | 200
SMSLocalSMS | 250
SMSSTDSMS | 150
SMSISDSMS | 25
SMSRoamingSMS | 55
RoamingIncomingSEC | 900
RoamingOutgoingLocalSEC | 600
RoamingOutgoingSTDSEC | 300
